form_of_government	1
05c17	2
018wl5	3
0j4b	4
01fpfn	5
05c74	6
0g8bw	7
06cx9	8
088q1s	9
06q1r	a
01q20	b
06s_2	c
03rjj	d
07tp2	e
0163v	f
01d9r3	10
020d5	11
07t21	12
0162v	13
0gtzp	14
03__y	15
03gyl	16
01z88t	17
05b4w	18
0d05q4	19
0165b	1a
035dk	1b
016zwt	1c
05v10	1d
06t2t	1e
06srk	1f
05qkp	20
01ppq	21
0jhd	22
03shp	23
05v8c	24
07ylj	25
04wgh	26
0161c	27
01k6y1	28
02k8k	29
07f1x	2a
01rxw	2b
06ryl	2c
04j53	2d
04g61	2e
03188	2f
0jt3tjf	30
026wp	31
09lxtg	32
06f32	33
09c7w0	34
0k6nt	35
07fb6	36
0hzlz	37
02wmy	38
02lx0	39
04v09	3a
05qx1	3b
05r4w	3c
02k1b	3d
0ctw_b	3e
06sw9	3f
049nq	40
03t1s	41
06v36	42
01xbgx	43
056vv	44
0fv4v	45
03_xj	46
06jnv	47
03ryn	48
035hm	49
088vb	4a
04tr1	4b
015fr	4c
016wzw	4d
04xn_	4e
06qd3	4f
07dzf	50
0166b	51
01n8qg	52
04hqz	53
01nqj	54
01pj7	55
03676	56
09pmkv	57
07twz	58
0hdx8	59
0154j	5a
0d05w3	5b
04ty8	5c
06mkj	5d
0j11	5e
036b_	5f
0d0vqn	60
05tr7	61
03spz	62
02kcz	63
0160w	64
06s9y	65
0168t	66
0hg5	67
035yg	68
047lj	69
05r7t	6a
0345_	6b
07bxhl	6c
0chghy	6d
06c1y	6e
03_3d	6f
015qh	70
03548	71
0n3g	72
07t_x	73
07fsv	74
0d0kn	75
0d060g	76
05qhw	77
02psqkz	78
02khs	79
027rn	7a
04wlh	7b
04hzj	7c
07z5n	7d
05bcl	7e
06bnz	7f
0345h	80
0jgx	81
06s0l	82
0164b	83
01p8s	84
059j2	85
0162b	86
06s6l	87
0jgd	88
07dvs	89
04w58	8a
047yc	8b
02w9s	8c
01ls2	8d
07ssc	8e
07fj_	8f
0164v	90
06dfg	91
04hvw	92
05rznz	93
05bmq	94
01nty	95
0d04z6	96
0c4b8	97
0169t	98
0167v	99
04vg8	9a
03_r3	9b
01mk6	9c
0jdx	9d
07f5x	9e
06tgw	9f
01nyl	a0
034tl	a1
