interacts_with	1
plant	2
bird	3
biomedical_or_dental_material	4
chemical	5
amphibian	6
organism	7
enzyme	8
human	9
chemical_viewed_structurally	a
organophosphorus_compound	b
carbohydrate	c
steroid	d
vitamin	e
fungus	f
archaeon	10
neuroreactive_substance_or_biogenic_amine	11
biologically_active_substance	12
hormone	13
eicosanoid	14
invertebrate	15
reptile	16
pharmacologic_substance	17
inorganic_chemical	18
lipid	19
immunologic_factor	1a
amino_acid_peptide_or_protein	1b
receptor	1c
indicator_reagent_or_diagnostic_aid	1d
population_group	1e
family_group	1f
bacterium	20
vertebrate	21
element_ion_or_isotope	22
nucleic_acid_nucleoside_or_nucleotide	23
professional_or_occupational_group	24
group	25
chemical_viewed_functionally	26
hazardous_or_poisonous_substance	27
animal	28
mammal	29
fish	2a
organic_chemical	2b
alga	2c
age_group	2d
antibiotic	2e
virus	2f
rickettsia_or_chlamydia	30
patient_or_disabled_group	31
isa	32
physical_object	33
carbohydrate_sequence	34
molecular_sequence	35
entity	36
therapeutic_or_preventive_procedure	37
health_care_activity	38
nucleotide_sequence	39
conceptual_entity	3a
disease_or_syndrome	3b
event	3c
environmental_effect_of_humans	3d
social_behavior	3e
behavior	3f
temporal_concept	40
idea_or_concept	41
clinical_drug	42
embryonic_structure	43
amino_acid_sequence	44
food	45
substance	46
cell_component	47
fully_formed_anatomical_structure	48
professional_society	49
occupation_or_discipline	4a
intellectual_product	4b
group_attribute	4c
phenomenon_or_process	4d
body_substance	4e
body_system	4f
anatomical_structure	50
spatial_concept	51
manufactured_object	52
pathologic_function	53
molecular_function	54
physiologic_function	55
self_help_or_relief_organization	56
organization	57
quantitative_concept	58
organism_function	59
geographic_area	5a
biomedical_occupation_or_discipline	5b
human_caused_phenomenon_or_process	5c
congenital_abnormality	5d
individual_behavior	5e
laboratory_procedure	5f
activity	60
acquired_abnormality	61
anatomical_abnormality	62
genetic_function	63
body_location_or_region	64
cell	65
cell_or_molecular_dysfunction	66
body_space_or_junction	67
diagnostic_procedure	68
regulation_or_law	69
mental_or_behavioral_dysfunction	6a
natural_phenomenon_or_process	6b
qualitative_concept	6c
educational_activity	6d
biologic_function	6e
health_care_related_organization	6f
finding	70
cell_function	71
laboratory_or_test_result	72
occupational_activity	73
sign_or_symptom	74
research_device	75
functional_concept	76
governmental_or_regulatory_activity	77
clinical_attribute	78
drug_delivery_device	79
gene_or_genome	7a
research_activity	7b
body_part_organ_or_organ_component	7c
daily_or_recreational_activity	7d
organ_or_tissue_function	7e
machine_activity	7f
mental_process	80
neoplastic_process	81
tissue	82
molecular_biology_research_technique	83
language	84
classification	85
injury_or_poisoning	86
organism_attribute	87
experimental_model_of_disease	88
medical_device	89
location_of	8a
affects	8b
issue_in	8c
evaluation_of	8d
ingredient_of	8e
result_of	8f
part_of	90
produces	91
process_of	92
causes	93
disrupts	94
co-occurs_with	95
complicates	96
measurement_of	97
adjacent_to	98
exhibits	99
uses	9a
treats	9b
degree_of	9c
manifestation_of	9d
precedes	9e
occurs_in	9f
measures	a0
associated_with	a1
performs	a2
analyzes	a3
diagnoses	a4
indicates	a5
assesses_effect_of	a6
property_of	a7
conceptual_part_of	a8
carries_out	a9
prevents	aa
method_of	ab
connected_to	ac
manages	ad
consists_of	ae
developmental_form_of	af
contains	b0
interconnects	b1
conceptually_related_to	b2
surrounds	b3
derivative_of	b4
practices	b5
