hyponym	1
tree.n.01	2
soapberry.n.01	3
sound.n.04	4
whiz.n.02	5
religious_doctrine.n.01	6
dogma.n.01	7
happening.n.01	8
eventuality.n.01	9
criticism.n.03	a
textual_criticism.n.01	b
beetle.n.01	c
carpet_beetle.n.01	d
shrub.n.01	e
governor's_plum.n.01	f
heath.n.01	10
erica.n.01	11
fern.n.01	12
davallia.n.01	13
legal_code.n.01	14
criminal_law.n.01	15
nullification.n.02	16
neutralization.n.01	17
animal_order.n.01	18
charadriiformes.n.01	19
building.n.01	1a
skyscraper.n.01	1b
system.n.04	1c
discipline.n.02	1d
quality.n.01	1e
inutility.n.01	1f
foodstuff.n.02	20
concoction.n.01	21
condition.n.01	22
condemnation.n.04	23
cerebral_cortex.n.01	24
neopallium.n.01	25
herb.n.01	26
goldthread.n.01	27
relish.n.03	28
vanilla.n.03	29
natural_process.n.01	2a
centrifugation.n.01	2b
interact.v.01	2c
communicate.v.05	2d
seasnail.n.02	2e
periwinkle.n.04	2f
elapid.n.01	30
krait.n.01	31
approval.n.04	32
encouragement.n.01	33
dicot_family.n.01	34
amygdalaceae.n.01	35
craftsman.n.03	36
rigger.n.01	37
change_surface.v.01	38
roll_up.v.06	39
nutriment.n.01	3a
ingesta.n.01	3b
steer.v.01	3c
navigate.v.02	3d
secretary.n.02	3e
receptionist.n.01	3f
position.n.06	40
proctorship.n.01	41
elimination.n.02	42
defecation.n.01	43
walk.v.01	44
ambulate.v.01	45
net.n.06	46
wirework.n.01	47
guarantee.v.04	48
certify.v.04	49
woad.n.02	4a
discontinue.v.01	4b
sign_off.v.01	4c
class.n.07	4d
actinopoda.n.01	4e
mammal_family.n.01	4f
mustelidae.n.01	50
circulate.v.02	51
popularize.v.01	52
arthropod_family.n.01	53
meloidae.n.01	54
elevation.n.05	55
altitude.n.01	56
internal_organ.n.01	57
heart.n.02	58
person.n.01	59
watcher.n.03	5a
join.v.04	5b
solder.v.01	5c
scentless_camomile.n.01	5d
vegetable.n.01	5e
solanaceous_vegetable.n.01	5f
flight.n.02	60
flyover.n.02	61
resident.n.01	62
colonial.n.01	63
resistor.n.01	64
rheostat.n.01	65
spar.n.02	66
mast.n.01	67
monocot_family.n.01	68
palmae.n.01	69
filter.n.01	6a
oil_filter.n.01	6b
bur_marigold.n.01	6c
tickseed_sunflower.n.01	6d
ketone.n.01	6e
acetone.n.01	6f
ectomorph.n.01	70
national.n.01	71
concave_shape.n.01	72
indentation.n.01	73
onion.n.03	74
green_onion.n.01	75
musical_composition.n.01	76
movement.n.05	77
mental_measurement.n.01	78
test.n.02	79
aquatic_plant.n.01	7a
hydrilla.n.01	7b
acting.n.01	7c
hamming.n.01	7d
supplier.n.01	7e
dispenser.n.02	7f
watchdog.n.02	80
pinscher.n.01	81
state.n.04	82
ally.n.01	83
kernel.n.03	84
quiddity.n.02	85
unskilled_person.n.01	86
tinkerer.n.01	87
asterid_dicot_genus.n.01	88
arctotis.n.01	89
oscine.n.01	8a
warbler.n.02	8b
gathering.n.01	8c
crowd.n.01	8d
alcyonaria.n.01	8e
net_income.n.01	8f
filthy_lucre.n.01	90
louse.n.01	91
body_louse.n.01	92
steal.v.01	93
pirate.v.01	94
destruction.n.01	95
decimation.n.01	96
dishonesty.n.02	97
falsification.n.03	98
commodity.n.01	99
basic.n.02	9a
joy.n.01	9b
exuberance.n.01	9c
alcove.n.01	9d
carrel.n.02	9e
morsel.n.02	9f
chew.n.01	a0
decrease.v.01	a1
drop_off.v.01	a2
degree.n.01	a3
depth.n.02	a4
coat.v.01	a5
