father	1
gf_0	2
f_0	3
ua_0	4
aa_0	5
mother	6
gm_0	7
wgf_0	8
m_0	9
ab_0	a
ub_0	b
wgm_0	c
s_0	d
d_0	e
b_0	f
sis_0	10
parent	11
brother	12
sister	13
sibling	14
uncle	15
aunt	16
gender	17
male	18
female	19
gf_1	1a
f_1	1b
ua_1	1c
aa_1	1d
gm_1	1e
wgf_1	1f
m_1	20
ab_1	21
ub_1	22
wgm_1	23
s_1	24
d_1	25
b_1	26
sis_1	27
gf_2	28
f_2	29
ua_2	2a
aa_2	2b
gm_2	2c
wgf_2	2d
m_2	2e
ab_2	2f
ub_2	30
wgm_2	31
s_2	32
d_2	33
b_2	34
sis_2	35
gf_3	36
f_3	37
ua_3	38
aa_3	39
gm_3	3a
wgf_3	3b
m_3	3c
ab_3	3d
ub_3	3e
wgm_3	3f
s_3	40
d_3	41
b_3	42
sis_3	43
gf_4	44
f_4	45
ua_4	46
aa_4	47
gm_4	48
wgf_4	49
m_4	4a
ab_4	4b
ub_4	4c
wgm_4	4d
s_4	4e
d_4	4f
b_4	50
sis_4	51
gf_5	52
f_5	53
ua_5	54
aa_5	55
gm_5	56
wgf_5	57
m_5	58
ab_5	59
ub_5	5a
wgm_5	5b
s_5	5c
d_5	5d
b_5	5e
sis_5	5f
gf_6	60
f_6	61
ua_6	62
aa_6	63
gm_6	64
wgf_6	65
m_6	66
ab_6	67
ub_6	68
wgm_6	69
s_6	6a
d_6	6b
b_6	6c
sis_6	6d
gf_7	6e
f_7	6f
ua_7	70
aa_7	71
gm_7	72
wgf_7	73
m_7	74
ab_7	75
ub_7	76
wgm_7	77
s_7	78
d_7	79
b_7	7a
sis_7	7b
gf_8	7c
f_8	7d
ua_8	7e
aa_8	7f
gm_8	80
wgf_8	81
m_8	82
ab_8	83
ub_8	84
wgm_8	85
s_8	86
d_8	87
b_8	88
sis_8	89
gf_9	8a
f_9	8b
ua_9	8c
aa_9	8d
gm_9	8e
wgf_9	8f
m_9	90
ab_9	91
ub_9	92
wgm_9	93
s_9	94
d_9	95
b_9	96
sis_9	97
