business_retailsales	1
Home Decor	2
2	3
76	4
-11.4	5
0	6
64.6	7
Kitchen	8
6	9
117	a
Accessories	b
1	c
24	d
Basket	e
182	f
-16.23	10
165.77	11
48	12
Art & Sculpture	13
588	14
-48.99	15
539.01	16
4	17
-14.4	18
167.6	19
Jewelry	1a
11	1b
308	1c
-11.21	1d
296.79	1e
3	1f
152	20
5	21
460	22
740	23
-18.5	24
721.5	25
Christmas	26
136	27
-6.8	28
129.2	29
Kids	2a
12	2b
264	2c
58	2d
700	2e
-4.8	2f
43.2	30
90	31
-4.5	32
85.5	33
54	34
116	35
-23.2	36
-92.8	37
36	38
Fair Trade Gifts	39
18	3a
140	3b
	3c
128	3d
One-of-a-Kind	3e
200	3f
220	40
-22	41
198	42
8	43
544	44
-13.6	45
530.4	46
132	47
-44	48
88	49
96	4a
-9.8	4b
86.2	4c
144	4d
139.2	4e
Soapstone	4f
64	50
-3.2	51
60.8	52
62	53
-2.8	54
59.2	55
7	56
1155	57
-47.51	58
1107.49	59
126	5a
-5.4	5b
120.6	5c
32	5d
330	5e
80	5f
-8	60
72	61
-8.8	62
211.2	63
92	64
98	65
88.2	66
73.1	67
-4.08	68
69.02	69
Music	6a
-6	6b
74	6c
42	6d
-4.2	6e
37.8	6f
15	70
270	71
252	72
-140	73
112	74
Skin Care	75
228	76
185	77
-37	78
148	79
66	7a
-4.4	7b
61.6	7c
44	7d
14	7e
435	7f
-20.1	80
414.9	81
84	82
-3.61	83
80.39	84
546	85
-17.6	86
491.4	87
49.3	88
-2.79	89
81.21	8a
Furniture	8b
129.6	8c
28	8d
408	8e
-20.4	8f
-68	90
319.6	91
114	92
-3.8	93
110.2	94
115	95
-11.5	96
103.5	97
Textiles	98
134	99
-5.7	9a
-58	9b
70.3	9c
196	9d
125	9e
-12.5	9f
112.5	a0
9	a1
593	a2
-9	a3
-110	a4
474	a5
68	a6
-3.4	a7
210	a8
-2	a9
25	aa
472	ab
-14	ac
458	ad
39.6	ae
224	af
192	b0
187.2	b1
50	b2
-4.57	b3
45.43	b4
304	b5
-15.2	b6
-38	b7
250.8	b8
-2.19	b9
