Top250	1
212	2
McCormick & Schmick's	3
NA	4
157	5
-15.6%	6
35	7
-14.6%	8
Seafood	9
95	a
Mellow Mushroom	b
461	c
-0.3%	d
187	e
-1.1%	f
Casual Dining & Italian/Pizza	10
194	11
Claim Jumper	12
177	13
-10.2%	14
-5.4%	15
Varied Menu	16
32	17
Cracker Barrel	18
Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.	19
2482	1a
1.8%	1b
660	1c
0.8%	1d
Family Dining & Family Style	1e
9	1f
Domino's	20
7044	21
6.9%	22
6126	23
4.3%	24
Quick Service & Pizza	25
191	26
Donatos Pizza	27
179	28
3.8%	29
165	2a
3.1%	2b
Pizza	2c
124	2d
Schlotzsky's	2e
335	2f
-0.5%	30
373	31
0.5%	32
Atlanta, GA	33
Sandwich	34
200	35
Beef 'O' Brady's	36
The chain is working on a rejuvenation, converting about 26 of its franchised units to company-owned ones and using those as testing grounds for new initiatives. It rolled out a separate lunch menu and added some higher-quality dinner options such as steak and salmon, and is also investing in high-tech fryers and a new POS system.	37
171	38
-5.0%	39
153	3a
-2.5%	3b
Sports Bar	3c
114	3d
Peet's Coffee	3e
357	3f
423	40
2.2%	41
Emeryville, CA	42
Coffee Cafe	43
133	44
Caribou Coffee	45
306	46
6.7%	47
464	48
Minneapolis, MN	49
138	4a
Old Chicago Pizza & Taproom	4b
275	4c
4.5%	4d
109	4e
1.9%	4f
Chattanooga, TN	50
Italian/Pizza	51
197	52
Giordano's	53
173	54
5.5%	55
70	56
1.4%	57
11	58
Pizza Hut	59
The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.	5a
5558	5b
0.6%	5c
7306	5d
-2.4%	5e
39	5f
Golden Corral	60
1746	61
483	62
-1.2%	63
Quick Service & Family Casual	64
73	65
Baskin-Robbins	66
615	67
2524	68
-1.0%	69
Quick Service & Frozen Desserts	6a
215	6b
Chicken Salad Chick	6c
Benefiting from being perhaps the only chain focusing on chicken salad, Chicken Salad Chick announced its 16th consecutive quarter of same-store sales growth in February 2020. It was acquired by private-equity firm Brentwood Associates in November.	6d
39.5%	6e
144	6f
38.5%	70
Chicken	71
Mountain Mike's Pizza	72
181	73
10.9%	74
5.4%	75
47	76
Bojangles'	77
1331	78
2.7%	79
746	7a
-1.3%	7b
Quick Service & Chicken	7c
107	7d
Long John Silver's	7e
404	7f
-8.2%	80
850	81
Louisville, KY	82
85	83
Checkers Drive-In Restaurants	84
535	85
-1.8%	86
584	87
-0.2%	88
Quick Service & Burger	89
101	8a
Charleys Philly Steaks	8b
435	8c
4.9%	8d
540	8e
2.3%	8f
Quick Service & Sandwich	90
227	91
Ocean Prime	92
20.2%	93
16	94
33	95
The Cheesecake Factory	96
2180	97
2.5%	98
206	99
Casual Dining & Varied Menu	9a
19	9b
Popeyes Louisiana Kitchen	9c
3812	9d
18.3%	9e
2476	9f
96	a0
The Capital Grille	a1
4.7%	a2
58	a3
0.0%	a4
Fine Dining & Steak	a5
Chuck E. Cheese's	a6
381	a7
537	a8
1.3%	a9
Irving, TX	aa
135	ab
Au Bon Pain	ac
289	ad
-8.1%	ae
170	af
-5.6%	b0
Boston, MA	b1
Bakery Cafe	b2
241	b3
54th Street Restaurant & Drafthouse	b4
131	b5
31	b6
10	b7
Panera Bread	b8
5890	b9
4.0%	ba
2160	bb
3.2%	bc
Fast Casual & Bakery Cafe	bd
115	be
Dickey's Barbecue Pit	bf
349	c0
-9.2%	c1
497	c2
-6.4%	c3
Dallas, TX	c4
BBQ	c5
202	c6
Bill Miller Bar-B-Q	c7
3.6%	c8
75	c9
48	ca
BJ's Restaurant & Brewhouse	cb
BJ's Restaurants' bullish approach to off-premise has paid off, helping it to pass TGI Fridays and become the No. 10 casual-dining chain. As of July, delivery sales at the chain were growing at a 20% clip, and the chain reported that takeout and catering sales were increasing as well. BJ's also overhauled its back-of-house operations in 2019 to make things more efficient and easier on employees.	cc
1161	cd
208	ce
3.0%	cf
59	d0
Bob Evans	d1
795	d2
-4.2%	d3
-1.4%	d4
1	d5
McDonald's	d6
40412	d7
13846	d8
190	d9
Farmer Boys	da
1.7%	db
93	dc
1.1%	dd
Burger	de
162	df
Fuzzy's Taco Shop	e0
225	e1
8.6%	e2
152	e3
3.4%	e4
Mexican	e5
45	e6
Waffle House	e7
1344	e8
1959	e9
1.2%	ea
121	eb
Big Boy/Frisch's Big Boy	ec
338	ed
-3.4%	ee
-3.0%	ef
Warren, MI	f0
Family Style	f1
Fazoli's	f2
238	f3
2.8%	f4
Bonefish Grill	f5
587	f6
-0.9%	f7
Casual Dining & Seafood	f8
108	f9
