disabled	1
student114	2
student125	3
student142	4
student155	5
student156	6
student173	7
student178	8
student181	9
student184	a
student194	b
student197	c
student207	d
student208	e
student214	f
student234	10
student242	11
student246	12
student248	13
student253	14
student26	15
student269	16
student281	17
student286	18
student288	19
student295	1a
student313	1b
student316	1c
student336	1d
student349	1e
student351	1f
student352	20
student364	21
student37	22
student371	23
student407	24
student41	25
student410	26
student436	27
student440	28
student458	29
student465	2a
student470	2b
student472	2c
student474	2d
student476	2e
student479	2f
student485	30
student50	31
student502	32
student505	33
student512	34
student559	35
student560	36
student565	37
student580	38
student594	39
student598	3a
student600	3b
student602	3c
student628	3d
student634	3e
student64	3f
student65	40
student650	41
student659	42
student663	43
student673	44
student68	45
student680	46
student698	47
student700	48
student732	49
student733	4a
student734	4b
student738	4c
student748	4d
student762	4e
student770	4f
student805	50
student823	51
student83	52
student830	53
student831	54
student838	55
student852	56
student870	57
student881	58
student885	59
student909	5a
student913	5b
student918	5c
student92	5d
student963	5e
student976	5f
student992	60
enlist	61
student40	62
fire_department	63
student51	64
student109	65
student139	66
student148	67
student167	68
student168	69
student183	6a
student211	6b
student224	6c
student233	6d
student241	6e
student262	6f
student267	70
student280	71
student304	72
student328	73
student329	74
student340	75
student372	76
student404	77
student423	78
student428	79
student500	7a
student539	7b
student562	7c
student568	7d
student585	7e
student613	7f
student647	80
student668	81
student674	82
student702	83
student714	84
student758	85
student764	86
student768	87
student807	88
student854	89
student888	8a
student908	8b
student985	8c
student35	8d
student53	8e
student160	8f
student161	90
student201	91
student252	92
student287	93
student298	94
student310	95
student321	96
student325	97
student375	98
student424	99
student455	9a
student462	9b
student514	9c
student528	9d
student540	9e
student566	9f
student683	a0
student715	a1
student771	a2
student839	a3
student865	a4
student876	a5
student880	a6
student931	a7
student939	a8
student1000	a9
air_force	aa
student999	ab
student996	ac
navy	ad
student993	ae
marines	af
student981	b0
student980	b1
student977	b2
foreign_legion	b3
student975	b4
army	b5
student962	b6
student959	b7
student956	b8
student955	b9
student952	ba
student948	bb
student946	bc
student942	bd
student937	be
student925	bf
student915	c0
student905	c1
student902	c2
student895	c3
student894	c4
student889	c5
student875	c6
student866	c7
student856	c8
student844	c9
student840	ca
student836	cb
student835	cc
student832	cd
peace_corps	ce
student817	cf
student815	d0
student808	d1
student804	d2
student803	d3
student795	d4
student794	d5
student793	d6
student790	d7
student789	d8
student779	d9
student765	da
student763	db
student751	dc
student750	dd
student735	de
student729	df
student724	e0
student722	e1
student721	e2
student712	e3
student708	e4
student705	e5
student701	e6
student699	e7
student697	e8
student696	e9
student694	ea
student684	eb
student681	ec
student678	ed
student676	ee
student670	ef
student664	f0
student662	f1
student660	f2
student652	f3
student646	f4
student637	f5
student633	f6
student621	f7
student618	f8
student617	f9
student616	fa
student611	fb
student609	fc
student605	fd
student604	fe
student596	ff
student595	100
student593	101
student589	102
student587	103
student569	104
student550	105
student548	106
student546	107
student544	108
student543	109
student542	10a
student536	10b
student531	10c
student527	10d
student511	10e
student507	10f
student504	110
student496	111
student494	112
student493	113
student480	114
student467	115
student450	116
student448	117
student443	118
student442	119
student441	11a
student437	11b
student420	11c
student415	11d
student391	11e
student386	11f
student382	120
student380	121
student378	122
student377	123
student369	124
student367	125
student365	126
student361	127
student353	128
student348	129
student338	12a
student337	12b
student334	12c
student317	12d
student315	12e
student308	12f
student306	130
student303	131
student302	132
student297	133
student293	134
student292	135
student291	136
student285	137
student282	138
student279	139
student275	13a
student272	13b
student271	13c
student264	13d
student220	13e
student218	13f
student204	140
student196	141
student195	142
student192	143
student191	144
student189	145
student180	146
student172	147
student169	148
student165	149
student153	14a
student152	14b
student151	14c
student140	14d
student129	14e
student127	14f
student121	150
student120	151
student117	152
student116	153
student106	154
student105	155
student104	156
student101	157
student99	158
student97	159
student94	15a
student91	15b
student90	15c
student84	15d
student80	15e
student79	15f
student73	160
student62	161
student57	162
student49	163
student48	164
student46	165
student39	166
student21	167
student13	168
student11	169
student9	16a
student4	16b
enrolled	16c
student10	16d
smc	16e
1	16f
ucb	170
student122	171
ucsd	172
student154	173
student17	174
student245	175
ucla	176
student255	177
student258	178
student27	179
student289	17a
student3	17b
occ	17c
student319	17d
student332	17e
student359	17f
uci	180
student379	181
student396	182
student399	183
student412	184
student44	185
student460	186
student463	187
student469	188
student495	189
student499	18a
student532	18b
student552	18c
student564	18d
student576	18e
student583	18f
student586	190
student612	191
student629	192
student630	193
student636	194
student690	195
student723	196
student736	197
student737	198
student752	199
student76	19a
student767	19b
student778	19c
student78	19d
student780	19e
student784	19f
student786	1a0
student791	1a1
student810	1a2
student816	1a3
student818	1a4
student829	1a5
student845	1a6
student858	1a7
student860	1a8
student862	1a9
student864	1aa
student878	1ab
student924	1ac
student933	1ad
student953	1ae
student960	1af
student969	1b0
student973	1b1
student978	1b2
student998	1b3
2	1b4
student107	1b5
student123	1b6
student130	1b7
student131	1b8
student14	1b9
student147	1ba
student16	1bb
student162	1bc
student186	1bd
student20	1be
student240	1bf
student263	1c0
student268	1c1
student278	1c2
student301	1c3
student327	1c4
student335	1c5
student341	1c6
student363	1c7
student374	1c8
student426	1c9
student47	1ca
student481	1cb
student513	1cc
student521	1cd
student523	1ce
student535	1cf
student571	1d0
student67	1d1
student675	1d2
student69	1d3
student693	1d4
student695	1d5
student720	1d6
student726	1d7
student731	1d8
student740	1d9
student747	1da
student756	1db
student760	1dc
student777	1dd
student787	1de
student796	1df
student812	1e0
student822	1e1
student857	1e2
student861	1e3
student87	1e4
student871	1e5
student900	1e6
student916	1e7
student921	1e8
student934	1e9
student938	1ea
student944	1eb
student961	1ec
student966	1ed
student971	1ee
student991	1ef
student102	1f0
3	1f1
student103	1f2
student110	1f3
student111	1f4
student150	1f5
student182	1f6
student190	1f7
student215	1f8
student236	1f9
student28	1fa
student290	1fb
student299	1fc
student300	1fd
student309	1fe
student339	1ff
student343	200
student350	201
student356	202
student387	203
student411	204
student413	205
student421	206
student43	207
student452	208
student454	209
student457	20a
student483	20b
student487	20c
student52	20d
student520	20e
student522	20f
student525	210
student54	211
student557	212
student574	213
student584	214
student6	215
student60	216
student615	217
student622	218
student623	219
student624	21a
student657	21b
student658	21c
student704	21d
student74	21e
student753	21f
student766	220
student792	221
student798	222
student811	223
student825	224
student834	225
student837	226
student843	227
student851	228
student879	229
student919	22a
student927	22b
student951	22c
student954	22d
student965	22e
student974	22f
student984	230
student986	231
student995	232
4	233
student159	234
student177	235
student18	236
student187	237
student202	238
student206	239
student212	23a
student221	23b
student225	23c
student247	23d
student265	23e
student276	23f
student277	240
student29	241
student31	242
student311	243
student318	244
student320	245
student324	246
student358	247
student362	248
student368	249
student370	24a
student390	24b
student394	24c
student406	24d
student409	24e
student433	24f
student456	250
student486	251
student497	252
student498	253
student501	254
student506	255
student518	256
student526	257
student533	258
student551	259
student555	25a
student578	25b
student58	25c
student590	25d
student601	25e
student643	25f
student661	260
student669	261
student671	262
student725	263
student744	264
student75	265
student772	266
student785	267
student8	268
student801	269
student869	26a
student899	26b
student912	26c
student914	26d
student922	26e
student923	26f
student929	270
student932	271
student95	272
student982	273
5	274
student118	275
student137	276
student144	277
student145	278
student179	279
student213	27a
student22	27b
student250	27c
student256	27d
student266	27e
student312	27f
student314	280
student32	281
student326	282
student345	283
student366	284
student383	285
student385	286
student418	287
student419	288
student427	289
student449	28a
student461	28b
student466	28c
student471	28d
student477	28e
student478	28f
student5	290
student561	291
student644	292
student645	293
student648	294
student682	295
student710	296
student713	297
student769	298
student773	299
student782	29a
student826	29b
student828	29c
student850	29d
student863	29e
student89	29f
student891	2a0
student98	2a1
student983	2a2
6	2a3
student119	2a4
student136	2a5
student193	2a6
student198	2a7
student216	2a8
student227	2a9
student232	2aa
student376	2ab
student389	2ac
student403	2ad
student408	2ae
student435	2af
student445	2b0
student509	2b1
student530	2b2
student538	2b3
student547	2b4
student549	2b5
student59	2b6
student606	2b7
student619	2b8
student649	2b9
student653	2ba
student741	2bb
student746	2bc
student749	2bd
student775	2be
student833	2bf
student842	2c0
student847	2c1
student853	2c2
student86	2c3
student868	2c4
student890	2c5
student892	2c6
student917	2c7
student936	2c8
student958	2c9
7	2ca
student108	2cb
student15	2cc
student185	2cd
student223	2ce
student235	2cf
student238	2d0
student260	2d1
student30	2d2
student400	2d3
student444	2d4
student447	2d5
student453	2d6
student482	2d7
student534	2d8
student537	2d9
student545	2da
student640	2db
student672	2dc
student686	2dd
student71	2de
student755	2df
student781	2e0
student797	2e1
student802	2e2
student813	2e3
student814	2e4
student824	2e5
student85	2e6
student874	2e7
student898	2e8
student907	2e9
student935	2ea
student943	2eb
student950	2ec
student979	2ed
student100	2ee
8	2ef
student115	2f0
student134	2f1
student141	2f2
student146	2f3
student157	2f4
student219	2f5
student237	2f6
student239	2f7
student243	2f8
student244	2f9
student254	2fa
student261	2fb
student274	2fc
student307	2fd
student322	2fe
student330	2ff
student34	300
student388	301
student392	302
student397	303
student438	304
student451	305
student473	306
student503	307
student529	308
student581	309
student61	30a
student63	30b
student631	30c
student639	30d
student666	30e
student679	30f
student688	310
student70	311
student706	312
student707	313
student887	314
student906	315
student928	316
student96	317
9	318
student138	319
student143	31a
student176	31b
student188	31c
student19	31d
student226	31e
student296	31f
student323	320
student357	321
student373	322
student393	323
student414	324
student416	325
student430	326
student432	327
student475	328
student484	329
student491	32a
student515	32b
student516	32c
student597	32d
student607	32e
student610	32f
student627	330
student641	331
student642	332
student656	333
student685	334
student691	335
student692	336
student718	337
student730	338
student742	339
student77	33a
student776	33b
student783	33c
student82	33d
student841	33e
student848	33f
student855	340
student873	341
student88	342
student882	343
student884	344
student893	345
student926	346
student947	347
student994	348
student112	349
10	34a
student126	34b
student149	34c
student158	34d
student170	34e
student199	34f
student200	350
student217	351
student24	352
student249	353
student25	354
student270	355
student273	356
student283	357
student284	358
student294	359
student305	35a
student344	35b
student381	35c
student395	35d
student417	35e
student439	35f
student446	360
student45	361
student490	362
student510	363
student55	364
student563	365
student567	366
student570	367
student582	368
student588	369
student592	36a
student66	36b
student667	36c
student677	36d
student703	36e
student716	36f
student719	370
student739	371
student745	372
student819	373
student820	374
student827	375
student846	376
student859	377
student877	378
student883	379
student896	37a
student901	37b
student911	37c
student970	37d
student972	37e
student990	37f
student997	380
student1	381
11	382
student2	383
student203	384
student230	385
student231	386
student33	387
student331	388
student36	389
student360	38a
student38	38b
student398	38c
student402	38d
student405	38e
student425	38f
student508	390
student541	391
student556	392
student572	393
student575	394
student577	395
student591	396
student625	397
student651	398
student655	399
student711	39a
student743	39b
student757	39c
student759	39d
student774	39e
student788	39f
student809	3a0
student81	3a1
student821	3a2
student872	3a3
student886	3a4
student904	3a5
student93	3a6
student930	3a7
student964	3a8
12	3a9
student12	3aa
student135	3ab
student164	3ac
student171	3ad
student209	3ae
student228	3af
student23	3b0
student257	3b1
student333	3b2
student342	3b3
student346	3b4
student347	3b5
student384	3b6
student422	3b7
student429	3b8
student459	3b9
student492	3ba
student517	3bb
student554	3bc
student573	3bd
student579	3be
student608	3bf
student614	3c0
student638	3c1
student665	3c2
student709	3c3
student717	3c4
student800	3c5
student806	3c6
student849	3c7
student867	3c8
student897	3c9
student910	3ca
student920	3cb
student940	3cc
student945	3cd
student949	3ce
student967	3cf
student968	3d0
student987	3d1
student989	3d2
student128	3d3
13	3d4
student133	3d5
student174	3d6
student354	3d7
student488	3d8
student519	3d9
student620	3da
student632	3db
student761	3dc
student163	3dd
14	3de
student210	3df
student468	3e0
student553	3e1
student626	3e2
student689	3e3
student72	3e4
student175	3e5
15	3e6
student222	3e7
student229	3e8
student401	3e9
student42	3ea
student599	3eb
student635	3ec
student727	3ed
filed_for_bankrupcy	3ee
student7	3ef
longest_absense_from_school	3f0
0	3f1
student124	3f2
student205	3f3
student524	3f4
student754	3f5
student799	3f6
student903	3f7
student166	3f8
student251	3f9
student558	3fa
student687	3fb
student941	3fc
student957	3fd
student431	3fe
student56	3ff
student728	400
student132	401
student355	402
student113	403
student464	404
student489	405
student603	406
student434	407
student259	408
student654	409
student988	40a
male	40b
no_payment_due	40c
neg	40d
pos	40e
person	40f
unemployed	410
