hasAnchor	1
scienc	2
g20158	3
marku	4
g21221	5
austin	6
g21903	7
www	8
g21316	9
relat	a
g22013	b
brown	c
g22335	d
program	e
g20302	f
interact	10
g20477	11
texa	12
g19780	13
gokul	14
g21738	15
java	16
g19856	17
articl	18
g21618	19
g19527	1a
home	1b
g22247	1c
ut	1d
g19844	1e
comput	1f
g20443	20
de	21
g22153	22
robot	23
g19504	24
assign	25
g20835	26
administr	27
g22263	28
depart	29
g20129	2a
g19795	2b
laboratori	2c
g20663	2d
code	2e
g20569	2f
g22029	30
homework	31
g20674	32
interest	33
g19899	34
g19498	35
list	36
g20219	37
g20231	38
present	39
g22158	3a
g21681	3b
g20310	3c
blumof	3d
g21724	3e
bjk	3f
g20933	40
g20427	41
group	42
g20277	43
lin	44
g21041	45
g20275	46
g21400	47
g22375	48
reason	49
g20608	4a
point	4b
g20204	4c
g19634	4d
harker	4e
g21334	4f
univers	50
g20347	51
plan	52
g20611	53
research	54
g20448	55
g21078	56
network	57
g21028	58
directori	59
g22149	5a
good	5b
g20997	5c
page	5d
g19665	5e
visit	5f
g19958	60
g21960	61
g19686	62
wilson	63
g20703	64
martym	65
g21008	66
utexa	67
g22236	68
g21399	69
g20966	6a
base	6b
g22392	6c
g21670	6d
lab	6e
g19999	6f
g19828	70
g21714	71
ulf	72
g21361	73
g20004	74
g19959	75
g19859	76
kaleidoscop	77
g22091	78
g20156	79
intellig	7a
g20287	7b
logic	7c
g19491	7d
past	7e
g20020	7f
syllabu	80
g20823	81
g20578	82
lisp	83
g20298	84
robert	85
g22096	86
g21404	87
pub	88
g20775	89
ec	8a
g19764	8b
prof	8c
g19873	8d
g21544	8e
g20229	8f
schedul	90
g21900	91
shailesh	92
g21779	93
autom	94
g21066	95
qr	96
g20917	97
g20047	98
person	99
g20865	9a
graphic	9b
g19877	9c
g20208	9d
simon	9e
g20595	9f
common	a0
g21100	a1
learn	a2
g22386	a3
g20241	a4
g22162	a5
advanc	a6
g20046	a7
g19885	a8
resum	a9
g20068	aa
mirank	ab
g22101	ac
algebra	ad
g19568	ae
dynam	af
g19818	b0
discuss	b1
g21619	b2
g21024	b3
estlin	b4
g20872	b5
g22361	b6
g19587	b7
g20018	b8
multimedia	b9
g20095	ba
alvisi	bb
g22231	bc
shaob	bd
g21500	be
g19820	bf
g19476	c0
g20201	c1
g22240	c2
boyer	c3
g20435	c4
g19530	c5
ai	c6
g19666	c7
g21821	c8
g22237	c9
knowledg	ca
g20431	cb
parallel	cc
g22380	cd
back	ce
g20216	cf
studi	d0
g19845	d1
g19685	d2
mathemat	d3
g21524	d4
g19569	d5
g21571	d6
search	d7
g22259	d8
g20266	d9
g20874	da
g19757	db
note	dc
g19479	dd
g19983	de
g22314	df
web	e0
g20039	e1
paul	e2
g20588	e3
campu	e4
g19847	e5
gnu	e6
natur	e7
g19776	e8
registrar	e9
g21624	ea
faculti	eb
g20214	ec
paper	ed
g20160	ee
g21583	ef
system	f0
g20149	f1
g22055	f2
model	f3
g21350	f4
section	f5
g20735	f6
g22267	f7
g20192	f8
staff	f9
g19803	fa
g19766	fb
g20117	fc
wang	fd
g20501	fe
g20228	ff
g22352	100
click	101
g19724	102
g21660	103
g19718	104
