Top250	212	McCormick & Schmick's	NA	157	-15.6%	35	-14.6%	NA	Seafood
Top250	95	Mellow Mushroom	NA	461	-0.3%	187	-1.1%	NA	Casual Dining & Italian/Pizza
Top250	194	Claim Jumper	NA	177	-10.2%	35	-5.4%	NA	Varied Menu
Top250	32	Cracker Barrel	Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.	2482	1.8%	660	0.8%	NA	Family Dining & Family Style
Top250	9	Domino's	NA	7044	6.9%	6126	4.3%	NA	Quick Service & Pizza
Top250	191	Donatos Pizza	NA	179	3.8%	165	3.1%	NA	Pizza
Top250	124	Schlotzsky's	NA	335	-0.5%	373	0.5%	Atlanta, GA	Sandwich
Top250	200	Beef 'O' Brady's	The chain is working on a rejuvenation, converting about 26 of its franchised units to company-owned ones and using those as testing grounds for new initiatives. It rolled out a separate lunch menu and added some higher-quality dinner options such as steak and salmon, and is also investing in high-tech fryers and a new POS system.	171	-5.0%	153	-2.5%	NA	Sports Bar
Top250	114	Peet's Coffee	NA	357	4.3%	423	2.2%	Emeryville, CA	Coffee Cafe
Top250	133	Caribou Coffee	NA	306	6.7%	464	3.8%	Minneapolis, MN	Coffee Cafe
Top250	138	Old Chicago Pizza & Taproom	NA	275	4.5%	109	1.9%	Chattanooga, TN	Italian/Pizza
Top250	197	Giordano's	NA	173	5.5%	70	1.4%	NA	Italian/Pizza
Top250	11	Pizza Hut	The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.	5558	0.6%	7306	-2.4%	NA	Quick Service & Pizza
Top250	39	Golden Corral	NA	1746	0.8%	483	-1.2%	NA	Quick Service & Family Casual
Top250	73	Baskin-Robbins	NA	615	0.6%	2524	-1.0%	NA	Quick Service & Frozen Desserts
Top250	215	Chicken Salad Chick	Benefiting from being perhaps the only chain focusing on chicken salad, Chicken Salad Chick announced its 16th consecutive quarter of same-store sales growth in February 2020. It was acquired by private-equity firm Brentwood Associates in November.	153	39.5%	144	38.5%	NA	Chicken
Top250	187	Mountain Mike's Pizza	NA	181	10.9%	215	5.4%	NA	Pizza
Top250	47	Bojangles'	NA	1331	2.7%	746	-1.3%	NA	Quick Service & Chicken
Top250	107	Long John Silver's	NA	404	-8.2%	850	-2.4%	Louisville, KY	Seafood
Top250	85	Checkers Drive-In Restaurants	NA	535	-1.8%	584	-0.2%	NA	Quick Service & Burger
Top250	101	Charleys Philly Steaks	NA	435	4.9%	540	2.3%	NA	Quick Service & Sandwich
Top250	227	Ocean Prime	NA	144	20.2%	16	6.7%	NA	Seafood
Top250	33	The Cheesecake Factory	NA	2180	2.5%	206	2.5%	NA	Casual Dining & Varied Menu
Top250	19	Popeyes Louisiana Kitchen	NA	3812	18.3%	2476	5.5%	NA	Quick Service & Chicken
Top250	96	The Capital Grille	NA	461	4.7%	58	0.0%	NA	Fine Dining & Steak
Top250	109	Chuck E. Cheese's	NA	381	-0.5%	537	1.3%	Irving, TX	Pizza
Top250	135	Au Bon Pain	NA	289	-8.1%	170	-5.6%	Boston, MA	Bakery Cafe
Top250	241	54th Street Restaurant & Drafthouse	NA	131	4.5%	31	6.9%	NA	Varied Menu
Top250	10	Panera Bread	NA	5890	4.0%	2160	3.2%	NA	Fast Casual & Bakery Cafe
Top250	115	Dickey's Barbecue Pit	NA	349	-9.2%	497	-6.4%	Dallas, TX	BBQ
Top250	202	Bill Miller Bar-B-Q	NA	170	3.6%	75	1.4%	NA	BBQ
Top250	48	BJ's Restaurant & Brewhouse	BJ's Restaurants' bullish approach to off-premise has paid off, helping it to pass TGI Fridays and become the No. 10 casual-dining chain. As of July, delivery sales at the chain were growing at a 20% clip, and the chain reported that takeout and catering sales were increasing as well. BJ's also overhauled its back-of-house operations in 2019 to make things more efficient and easier on employees.	1161	4.0%	208	3.0%	NA	Casual Dining & Varied Menu
Top250	59	Bob Evans	NA	795	-4.2%	483	-1.4%	NA	Family Dining & Family Style
Top250	1	McDonald's	NA	40412	4.9%	13846	-0.5%	NA	Quick Service & Burger
Top250	190	Farmer Boys	NA	179	1.7%	93	1.1%	NA	Burger
Top250	162	Fuzzy's Taco Shop	NA	225	8.6%	152	3.4%	NA	Mexican
Top250	45	Waffle House	Waffle House	1344	3.4%	1959	1.2%	NA	Family Dining & Family Style
Top250	121	Big Boy/Frisch's Big Boy	NA	338	-3.4%	194	-3.0%	Warren, MI	Family Style
Top250	157	Fazoli's	NA	238	2.8%	215	0.0%	NA	Sandwich
Top250	75	Bonefish Grill	NA	587	-0.9%	197	0.0%	NA	Casual Dining & Seafood
Top250	108	Saltgrass Steak House	NA	402	14.9%	88	10.0%	Houston, TX	Steak
Top250	53	Qdoba Mexican Eats	NA	901	5.9%	730	-2.9%	NA	Fast Casual & Mexican
Top250	136	Bar Louie	NA	284	-5.6%	128	-3.0%	Addison, TX	Varied Menu
Top250	129	Ninety Nine Restaurants	NA	324	2.1%	108	0.9%	Woburn, MA	Varied Menu
Top250	158	Rubio's	NA	232	-0.1%	197	-3.4%	NA	Mexican
Top250	198	Islands Fine Burgers & Drinks	NA	173	0.9%	56	0.0%	NA	Varied Menu
Top250	218	Hurricane Grill & Wings	NA	151	0.8%	56	0.0%	NA	Sports Bar
Top250	239	Daylight Donuts	NA	132	2.2%	415	0.2%	NA	Snack
Top250	193	Taco Bueno	NA	178	-12.4%	145	-12.1%	NA	Mexican
Top250	90	Boston Market	NA	501	-9.9%	390	-14.1%	NA	Fast Casual & Chicken
Top250	16	Applebee's	NA	4085	-3.0%	1665	-1.7%	NA	Casual Dining & Varied Menu
Top250	84	Freddy's Frozen Custard & Steakburgers	NA	535	12.9%	368	12.2%	NA	Fast Casual & Burger
Top250	199	Mimi's Bistro & Bakery	NA	172	-4.8%	77	-2.5%	NA	Varied Menu
Top250	179	True Food Kitchen	The health-focused chain with a rotating menu is in growth mode, with plans for new units as well as its first stand-alone cocktail and juice bar, located next to a new True Food Kitchen location at Caesars Palace in Las Vegas.	190	13.8%	32	28.0%	NA	Varied Menu
Top250	105	Maggiano's Little Italy	NA	417	1.1%	53	1.9%	Dallas, TX	Italian/Pizza
Top250	51	Steak 'n Shake	As of August, the chain had temporarily closed more than 100 locations with plans to refranchise them to single-store operators. And in early 2020, it announced plans to convert about 100 units to counter service. Prior to the coronavirus crisis, it was named in a Fitch Ratings report as a chain at risk of a Chapter 11 filing.	950	-7.7%	576	-3.0%	NA	Quick Service & Burger
Top250	237	The Coffee Bean & Tea Leaf	The LA-based chain was acquired by Jollibee in July for $350 million, becoming the largest deal yet for the international fast-food company. Jollibee planned to grow the The Coffee Bean in Asia, where there's a race for coffee supremacy.	133	-2.1%	282	-0.7%	NA	Coffee Cafe
Top250	127	On The Border Mexican Grill & Cantina	NA	327	-6.1%	136	-4.9%	Irving, TX	Mexican
Top250	50	In-N-Out Burger	NA	957	4.6%	351	3.5%	NA	Quick Service & Burger
Top250	229	Pollo Campero	NA	143	1.1%	78	-2.5%	NA	Chicken
Top250	230	Houlihan's	The chain filed for bankruptcy in November and was simultaneously acquired by Landry's for $40 million. The move followed the closure of 12 unprofitable stores. It joins Landry's collection of polished-casual chains such as Morton's The Steakhouse and McCormick & Schmick's.	143	-21.2%	45	-32.8%	NA	Varied Menu
Top250	172	Uno Pizzeria & Grill	NA	196	-12.9%	85	-14.1%	NA	Italian/Pizza
Top250	236	Walk-On's Sports Bistreaux	NA	133	27.8%	33	37.5%	NA	Sports Bar
Top250	31	Red Lobster	NA	2490	1.6%	679	0.1%	NA	Casual Dining & Seafood
Top250	122	Black Bear Diner	NA	336	15.3%	138	15.0%	Redding, CA	Family Style
Top250	180	Buca di Beppo	NA	189	-5.7%	76	-1.3%	NA	Italian/Pizza
Top250	192	Shoney's	NA	179	-4.4%	126	-0.8%	NA	Family Style
Top250	225	Eddie V's Prime Seafood	NA	144	8.1%	21	10.5%	NA	Seafood
Top250	231	Old Country Buffet/HomeTown Buffet	NA	142	-18.8%	49	-24.6%	NA	Family Casual
Top250	219	The Old Spaghetti Factory	NA	150	2.2%	42	0.0%	NA	Italian/Pizza
Top250	67	Ruth's Chris Steak House	NA	703	1.6%	135	1.5%	Winter Park, FL	Steak
Top250	104	Pollo Tropical	NA	425	-2.1%	174	3.0%	Miami, FL	Chicken
Top250	167	Souplantation & Sweet Tomatoes	NA	211	-3.3%	97	0.0%	NA	Family Casual
Top250	36	Zaxby's	NA	1886	6.0%	910	1.3%	NA	Fast Casual & Chicken
Top250	166	Lazy Dog Restaurant & Bar	NA	213	21.3%	36	20.0%	NA	Varied Menu
Top250	250	Jollibee	NA	126	15.2%	40	11.1%	NA	Chicken
Top250	56	Hooters	NA	858	0.4%	341	0.0%	NA	Casual Dining & Sports Bar
Top250	165	Brio Tuscan Grille	NA	217	-4.0%	57	-1.7%	NA	Italian/Pizza
Top250	211	Wayback Burgers	NA	159	2.0%	143	0.7%	NA	Burger
Top250	220	Taziki's Mediterranean Cafe	NA	149	11.9%	93	6.9%	NA	Ethnic
Top250	160	A&W All-American Food	The chain's 100th birthday found it working to reconcile its classic heritage with modern trends. It has doubled down on social media marketing to target younger generations and introduced tablet-based staff training to slow turnover. It's exploring delivery, though "the jury's still out," CEO Kevin Bazner told RB in July.	227	1.8%	575	-6.5%	NA	Burger
Top250	185	Sweetgreen	In June, Sweetgreen made its first acquisition: meal delivery service Galley Foods. The move signaled a new and more aggressive approach to delivery for the fast-growing chain, combining Sweetgreen's supply chain with Galley's knowledge of home delivery.	184	16.8%	102	10.9%	NA	Healthy
Top250	224	Duffy's Sports Grill	NA	144	2.6%	34	0.0%	NA	Sports Bar
Top250	55	Krispy Kreme	NA	887	4.4%	364	4.0%	NA	Quick Service & Snack
Top250	69	Jason's Deli	NA	647	-1.1%	283	1.8%	NA	Fast Casual & Sandwich
Top250	29	Outback Steakhouse	NA	2635	0.9%	724	-1.2%	NA	Casual Dining & Steak
